"","Individual","Collective","Mean_800","Mean_1250","Mean_2000","Jewish_segment","JLR_station","Damascus_Gate_dis","With_settlements","con800"
"64",1,1,189.744043394495,339.982102449541,697.138144880734,1,1,5364.30039582092,0,65
"65",1,0,258.863840086022,391.761664752688,729.492444973118,1,0,5466.49165977381,0,77
"66",0,0,99.0825592096154,180.278957930769,419.937498719231,1,0,5611.53600596172,0,36
"67",1,162,48.8009198689655,90.2219382,190.742657989655,1,0,5796.21725719671,0,19
"68",0,0,51.6369703333333,111.374219,239.124992666667,1,0,6016.88668746955,0,21
"69",0,0,140.62379988125,258.661570660714,440.575559732143,1,0,6337.33536611248,0,49
"70",0,0,142.965629195946,252.340247283784,510.081885337838,1,0,6022.35007942036,0,50
"71",0,0,19.615575,28.8618483333333,44.3896763333333,1,0,5733.722572907,0,8
"72",0,0,14.12640075,18.4600731,23.5268044,1,0,5475.62250107995,0,5
"73",0,0,168.438552390625,278.369514375,531.445107734375,0,0,4929.80757078016,0,59
"74",0,0,327.956315630872,550.14262495302,1064.78564044295,0,0,4838.37190972293,0,85
"75",0,1,390.090596371505,812.967176349463,1582.06429636559,0,0,4797.5697982917,1,90
"76",0,0,169.969726729457,380.878266007752,963.386056325582,1,0,4808.69029434217,0,60
"77",0,0,186.012873146774,507.694964532258,1158.06208724193,1,1,4871.3778165727,0,64
"78",0,1,191.817069384783,437.516132847826,937.273469869565,1,0,4983.68682352402,0,66
"79",0,0,NA,NA,NA,1,0,5142.36714450957,0,NA
"80",0,0,157.822653923881,272.723994462687,460.854441880597,1,0,5343.28908353366,0,55
"81",0,0,38.74991695,64.1430098769231,127.459486446154,1,0,5581.89299458785,0,17
"82",0,0,24.457836,79.426865,232.73375,1,0,5853.57269188967,0,11
"83",0,0,217.368498735849,382.698813830189,626.307063446541,1,0,5967.94898816902,0,70
"84",0,0,172.295520541085,372.64503875969,698.888509821705,1,0,5632.34374389032,0,60
"85",0,0,169.475675867598,289.538338324023,552.276823843575,1,0,5322.60933372632,0,59
"86",0,0,211.277173983051,349.282251432203,601.462298466102,1,0,5043.51438736359,0,69
"87",0,0,24.4525713333333,30.573919,39.1966423333333,1,0,4800.40600835399,0,11
"88",0,0,103.290418314815,163.200094266667,281.583475592593,0,0,4444.95202140907,0,37
"89",0,0,128.027062226829,253.451482853659,563.766488695122,0,0,4343.32115137923,0,44
"90",0,1,269.523989534247,626.117153890411,1498.9572890411,0,1,4297.82177095591,0,79
"91",0,1,120.095316535051,283.082836752577,749.87596943299,1,0,4310.23183706092,0,42
"92",0,0,274.399533080537,514.638531697987,1230.64485778523,1,1,4380.05914682117,0,80
"93",0,0,348.078731630435,595.52205652174,936.811903708696,1,0,4504.63437218383,0,87
"94",0,0,431.184019832432,663.577591248648,821.722941956757,1,0,4679.58721619029,0,92
"95",0,0,219.741369536893,399.634458194174,575.872627514563,1,0,4899.52396736689,0,71
"96",0,0,56.3440339037037,119.146136181481,273.159840962963,1,0,5158.69426404416,0,22
"97",0,0,158.457485351351,300.031247324324,525.75307272973,1,0,5618.80805772112,0,55
"98",0,0,230.124172381188,434.152325425742,740.69493490099,1,0,5260.97756147216,0,73
"99",2,1,188.685183230464,406.735394993378,772.038336582781,1,0,4927.95687662616,0,64
